<br><font color=teal>*Byakuren(Guujin) thinks: Probably. . . - Fri Dec  4 05:46:27 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, I see.. - Wed Dec  9 03:10:43 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) says: Mmmm. . . - Wed Dec  9 03:11:34 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) stared down at the child for a few seconds, "At least he's happy.." he'd thought, from the child his sights were set on Byakuren."Err.. Soo.. Why did you come here again?" he was unsure, then he'd switch his sights back towards Kai. "Hey, don't be afraid." at this point, he felt mentally split between all of these people..* - Wed Dec  9 03:15:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Though.. She's cute.. so its worth it, heh. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I'm bored... - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: UGHHHHH!!!1 - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: *voice* "Shut the hell up!" - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Fine... - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You should speak up. - Wed Dec  9 03:22:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Clear your throat!!!! - Wed Dec  9 03:23:31 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: PRONOUNCE!!! - Wed Dec  9 03:23:31 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: Y-Ye-...I um...Mm... - Wed Dec  9 03:23:31 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) remained quiet, he'd gave Akechi a thumbs up with his free hand, at least she got what he meant. Plus he couldn't help it, he was always a happy guy, he had to express it some how. He'd slowly approach Kai, hoping to not startle him much. His armor did make him seem a bit... frightning at times.  With his free hand, he'd extend it outward attempting to shake Kai's hand."I'm.... Well a friend. Don't be afraid of me, okay?"* - Wed Dec  9 03:31:12 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: (*taps that ass, flees*) - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) thinks: I sense a false guise. A persona. .  - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) thinks: Nuh uh, I'm real as fuck! - Wed Dec  9 03:36:19 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) "I have a sudden urge.. to kick him in his head..Hmm.." the armored guy thought within his mind, but he'd remain helpful wanting to assist him. He'd release a sigh once hearing Akechi's voice. Turning over towards Byrakuren, he'd simply reach into his pocket, dangling the charm he spoke about within his grasp."This thing, right?" he'd ask as it swayed (he made a necklace out of the thing.)* - Wed Dec  9 03:41:26 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I'm going to kick him in his head next time. - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Oh well.... - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Plan at making friends, failed... NUMBER..... ONE HUNDRED AND THIRTEENNNN!!! - Wed Dec  9 03:48:16 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: Mm... - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: But anyway... - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Back to you guy at the gate.. - Wed Dec  9 03:49:58 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) "Hmm? I still feel like this is peace?" he'd look down at the child, then around him.. Most of the troops were away for war, which meant more blood shed."No.. I don't feel like this is peace. What's your point?" he'd ask, his mind more open to Byakuren's idiolody this time or whatever he had to offer.* - Wed Dec  9 03:53:23 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) remained quiet through the entire speech, in his mind he'd say in boredom."God... he reminds me so much of Chiiyari...Peace, Peace, Peace, yada yada yada, peace... But he has a point." he held the baby tight, now with both hands  and his favorite blanket around him for warmth, it seemed he'd fallen asleep once again.

He'd look up at the sky, seemingly in deep thought. It was true, the world was pleagued. An endless cycle they couldn't have changed, he'd seen it all.. Would guardians that watched over this, and stepped in at times of need even be worth it? Would it change anything? He'd think back on Ride or Die.. though, it seemed like that chose to die, even the old fart Hassan decided to die. 

"Hmm... If you could beat me in a battle. I'd consider joining you."* - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Just a litle spar. I'm not much of a threat.. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Little* - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) says: nah fam i'm gud. -walks away- - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *Chops off head* - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: -omit- - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I'm as defenseless as the hokage's child here. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) says: A fight? Is that really what it comes down to? - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Yes. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: If i'm going to trust someone as a 'Guardian.' - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You have to have power besides words. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Trust me. Ignore your 'good conscience for a second or two.' - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: If you don't have power to back up your words, it'll be nothing.. Meaningless. - Wed Dec  9 04:36:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You need more than words to make a change. - Wed Dec  9 04:36:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You can't move or sway a mountain with only words. - Wed Dec  9 04:38:36 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You need the strength as well... to do this. - Wed Dec  9 04:40:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: BUT!!!! That's words, i've heard from a relic of the past. - Wed Dec  9 04:41:10 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) "Great! You're begining to understand, make you're not much of an... Hmm... Well.. how can I say this?... Priest as I thought, even if it pains you. Somethings in this world, you just have to deal with, some things are required for peace, an equal of things."

saying this, he'd turn towards one of the ninja present in the area that remained."Could you call the child's mother? If she hasn't waken up as yet, wake her up." with that, he'd wait. Once the mother had turned up, he'd hand over the child and commence his spar against Byakuren.* - Wed Dec  9 04:45:26 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Plus.. I really need to know... how bad I've became. - Wed Dec  9 04:46:17 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Hm... whats going on here? - Wed Dec  9 04:47:08 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Good.. that was fast enough. - Wed Dec  9 04:47:08 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) approached the hokage, handing over he sleeping child."Have fun..." he'd simply say, while focusing on Byakuren. He knew this'd be a drag.* - Wed Dec  9 04:48:51 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: . - Wed Dec  9 04:50:33 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) says: Fortunes. - Wed Dec  9 04:50:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Don't worry about it, ma'am. - Wed Dec  9 04:51:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Just... make sure he's all right. - Wed Dec  9 04:51:24 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: No I will your my villager now and I wont have you all getting hurt - Wed Dec  9 04:51:24 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) placed a hand or attempted to place an idle hand on Rias's shoulder. "It'll be okay. Just watch over him." he'd plainly say, while half facing away from the woman, his eyes focused on Byakuren."When ever you're ready."* - Wed Dec  9 04:53:07 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: ... - Wed Dec  9 04:56:32 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) brought his left hand up towards his face mask, it was a fuction that was connected to his face mask, the mouth piece of it. This helped to distort his voice a bit, but hindered him a little, like the armor itself. He'd throw the mouth piece backwards towards Rias, as he advanced a step forward. "You may have the first move."* - Wed Dec  9 05:10:11 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) watched quietly as Byakuren withdrew something from within his kimono. "What?.." he'd question within his mind, at this point two objects were visible in Byakuren's hands, though he couldn't make out what it could've been. After joining the two, the man threw it forward, his senses opened up.

The armored guy attempted to side step, moving to the side of said attack. Though his movements were a lot slugglish than normal, due to the armor that he wore. If he was able to avoid the kunai, he'd form the required seals for one of his techniques. Executed, a cool wind blew in, forming into several small tornadoes. The kunai that zoomed pass, one of the tornadoes formed around trapping it within it. The the other tornadoes of wind kicked up, dirt from the terrain swirling around clouding the wind tornado as it approached Byakuren. 

At this time, the tornado that held the kunai spat out the kunai directed at Byakuren's chest, it was imbued with wind natured chakra from the technique.* - Wed Dec  9 05:28:06 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) manipulated the tornadoes of wind towards the Kimono wearing man, dust kicked up, distorting his view on the man. "Got him? That was too easy." he'd thought, but just like that.. The man was gone, "Wahh?" he'd question, he couldn't have gone by air, so where? Did he turn invisible? Then it hit him, maybe he went underground? He was aquainted with that technique that allowed you do such.

"If he's underground, this may be an issue. But if he's invisible.. it won't be an issue..." he had his reason for this, for now, he'd jog around the area. Trying not to stay in one spot, maybe confuse him even. The weight of the armr weighed him down, leaving the clanking of armor with each step made. "Where might you be?.." he'd questioned, his eyes searching around the area.* - Wed Dec  9 05:54:33 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) eyes widened behind of the helmet, he was surrounded from all directions! A horde of the kimono wearing man trapped him. "Clones...HEH, I'M NOT AFRAID!" He'd jog up to one of the many clones, he'd throw a punch forward but his hands went straight through the clones, "Wha?.." he'd question, within his mind a voice boomed.

//-Voice- "You've become blind, its a genjutsu idiot...Humans.." 

Eyes widened, "I figured.. I should've known it was this technique.." he was just caught off guard, plus he should've known since he knew this technique himself. He'd stop in his tacks, the illusions crowded him.  "He's underground all right..." He'd run over to the gate, focusing his chakra towards the soles of his feet, he'd jump, the chakra boosting his step and jump bit.. Especial since the armor weighed him down.  Landing on the gate, he'd turn around slightly, his arms folded across his chest while waiting for the Kimono man's true self to emerge.* - Wed Dec  9 06:27:50 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) eyes went towards each clones, "Its just a genjutsu... I need to find the real one." his eyes went from clone to clone, each one withdrawing shuriken, brandishing it in their grasp."This'll become messy.." as they threw the barage of shuriken forward, his hands went up to his chest, incase he actually threw a real shuriken through. He wasn't sure, each one phazed through his body. 

From the cluster of shurikens, a strange one came into view, its sped on by. It had a greenish aura to it, obviously different from the rest."SHIT!" he'd exclaim while forming the required seals. Once the seals were executed, he drew in a large amount of air. The air drawn in fused with his wind based chakra, with the right amount drawn in his cheeks puffed up a bit. His lips parted as he blew outward, a powerful gust of wind was released, attempting to blow the shuriken off path, or hold it out in the air while he tried to avoid it.  Everything in his line of sight, was blown away, dust kicked up.. He'd make sure to put in more power, enough to overpower the wind infused shuriken.

"Need to move." he'd thought while attempting to do so."* - Wed Dec  9 07:06:14 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) watched from the fence as the dust blew over, he couldn't make things out at all. This, he'd try to exploit this. He'd jump downward, the moment he landed on the earth, he'd gathered chakra.. Sending earth natured chakra into the ground below, slackening it, making loose and moist. Followed by this, a river of mud was summoned forth, the mud rushed forward into the dust, the clones, and if the real Byakuren was within this mix.

Followed by this, he'd form another chain of handseals, forming the required seals for the Hiding like a Mole technique. With the handseals executed, the earth beneath him transformed into fine sand as he seeped into the ground, leaving no trace of him above ground. He'd sit down from below, thinking on possible strategies.* - Wed Dec  9 07:31:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: (It also materializes out of thin air, without me needing to actually have.. Iron sand.) - Wed Dec  9 07:49:45 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) "DOGS?!" the armored guy thought, at this moment Iron sand materialized around him, where ever they chose to attack from, the grains of blackend sand formed into a dense shield to keep each Dog at bay, defending the armored guy." which meant, he'd been able to to do both techniques in his previous turn.

From beneath the ground, he'd brought two fingers up towards his eye channeling chakra. Out of thin air, iron sand was conjured, forming into a bird that flew around, taking in everything around the area."..Hmm.. those dogs, they're going to be an issue. Better get rid of them quickly, then fish out the Monk." 

While the bird painted a vivid picture of everything around him, he'd make a few hand gestures. The blackened sand from the shield, plus newly conjured sand formed into tendrils, about as many to match as many dogs, their edge pointed and sharp. The the morphed tendrils moved fast, aiming to spear the dogs, attempting to frighten them into dispersing, leaving the fight. "Wonder if he's Chiiyari.. those muts.."* - Wed Dec  9 08:03:24 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: ((16 speed of the sand.) - Wed Dec  9 08:05:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You may have the first move. - Thu Dec 10 02:03:44 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm... - Thu Dec 10 02:04:35 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm... - Thu Dec 10 02:55:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: ..... - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mkay, I don't want to get pounded into the ground. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We should go see if Rias is awake. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Shin(Yaori) says: Hmph - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: um...s-sure - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Not with them around. - Thu Dec 10 02:57:29 2015
<br><br><font color=teal>*Hanzo(Kyotoshien) says: Well. That's a small shame. I was hoping to learn a thing or two from your spar. It's been a pain trying to regain my memories. Thought seeing one might jog them. - Thu Dec 10 02:57:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh. - Thu Dec 10 02:58:20 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . At your house? - Thu Dec 10 02:58:20 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: Mine isn't here... - Thu Dec 10 02:58:20 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: I'm not from around these parts... - Thu Dec 10 02:58:20 2015
<br><br><font color=teal>*Shin(Yaori) says: Then. . .  I'd find the neares hotel - Thu Dec 10 02:58:20 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: Hotel...Eh..? - Thu Dec 10 02:59:12 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: So...This is the villiage hidden in the leaves... - Thu Dec 10 02:59:12 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: Pretty calm weather.....Eh..? - Thu Dec 10 03:00:03 2015
<br><br><font color=teal>*Shin(Yaori) says: A calm before the storm, likely - Thu Dec 10 03:00:03 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: It doent seem like a dangerous place for storms...Not much weather damage... - Thu Dec 10 03:01:45 2015
<br><br><font color=teal>*Shin(Yaori) says: Storms ome in many forms - Thu Dec 10 03:01:45 2015
<br><br><font color=teal>*Shin(Yaori) says: I just pray it's not one that will hurt anyone - Thu Dec 10 03:01:45 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: ... - Thu Dec 10 03:02:36 2015
<br><br><font color=teal>*Domon(Kamenraider38) says: O - Thu Dec 10 03:02:36 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: She's still asleep... She sleeps more than the baby... - Thu Dec 10 03:09:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Thu Dec 10 03:29:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: They are on our side for military support and resources - Thu Dec 10 05:23:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: We are not under them - Thu Dec 10 05:23:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Trading partners doesn't mean that we have to be their military support. - Thu Dec 10 05:23:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: We arent supporting them... they support us - Thu Dec 10 05:23:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Thu Dec 10 05:24:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You were ready to assemble troops with Sunagakure.. - Thu Dec 10 05:24:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: Osuda what protects villages? - Thu Dec 10 05:24:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Our shinobi. - Thu Dec 10 05:24:16 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Hmm.. Doesn't seem like a good time.. NOPE! - Thu Dec 10 05:25:07 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) attempts to step right back out, like a smooth criminal!* - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Rias(LionHunter) says: And who was send to help them? - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one was sent to help our shinobi. - Thu Dec 10 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We never needed help. - Thu Dec 10 05:25:07 2015
