<br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 07:40:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I haven't seen someone so happy in a while. - Sat Dec  5 08:12:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But the world is so beautiful, what isn't there to be happy about? - Sat Dec  5 08:14:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I understand that, girly.~ - Sat Dec  5 08:17:04 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) turned to look towards Nigen, "Dooooo you now?~"* - Sat Dec  5 08:17:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm. - Sat Dec  5 08:18:46 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) snickered softly and turned back, she wasn't all that talkative at the moment. If Nigen wanted the conversation to continue he would have to lead it. A lot had been on her mind lately---haha a lot on an insane person's mind--- and now she was dwelling upon the past.* - Sat Dec  5 08:21:20 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Beautiful? Must be talking about my J's -omit- - Sat Dec  5 08:25:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) 's interest was -definitely- peeked when he mentioned nature. She turned her head and rose a brow in his direction, "Oooooh, you like nature?~ I love the trees in Konoha.~ They are ever so calm and beautiful. So ancient and creaking.~" She swayed back and forth as if she was talking about a lost love.* - Sat Dec  5 08:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm..mhm.~ - Sat Dec  5 08:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's nothing better than just sitting around secluded by trees and just relaxing. - Sat Dec  5 08:29:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mnnngn. yessss.~ - Sat Dec  5 08:30:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: The beeeest.~ - Sat Dec  5 08:30:43 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) practically had moaned out her words.* - Sat Dec  5 08:30:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Crystals? - Sat Dec  5 08:31:34 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hm~ - Sat Dec  5 08:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Sat Dec  5 08:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to get that excited about it. - Sat Dec  5 08:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I remember you. - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Eh? - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're that strong guy that killed the Mizukage. - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Wait. . .Kumogakure? - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .I didn't do it! - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Sheesh. - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Suuuure. - Sat Dec  5 08:35:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to be so modest. - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Wish people would stop that already. . . - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: He did it to himself. . . - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Still, there is a girl here. You might scare them. - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh. - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: If you're suggesting I leave, I have no issue. - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Which Mizukage?~ - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to leave. - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As long as you're not causing any trouble. - Sat Dec  5 08:36:41 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) suddenly was very VERY interested in the male at the end.* - Sat Dec  5 08:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Plus, I'm off for the time being. - Sat Dec  5 08:37:32 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Eh? The last one, Liu or something I think his name was. One with the fan. - Sat Dec  5 08:37:32 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Punched something he shouldn't have. . . - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: And I'm catching the blame. - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...Oh... well good for you.~ - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Not really. - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Too much attention. - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: He was a greedy little fuck.~ - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh? - Sat Dec  5 08:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: He wasn't the worst Mizu Kirigakure had apparently though. - Sat Dec  5 08:39:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mnnnnnn, in my line of history he was.~ - Sat Dec  5 08:39:15 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh? - Sat Dec  5 08:40:06 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: You knew more than one? - Sat Dec  5 08:40:06 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Lucky~ - Sat Dec  5 08:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sat Dec  5 08:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Was he really that bad? - Sat Dec  5 08:40:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hhhhhmmmmm, I knew three.~ - Sat Dec  5 08:40:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh, nope four now.~ - Sat Dec  5 08:40:57 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Eh? - Sat Dec  5 08:40:57 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Really? - Sat Dec  5 08:40:57 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: And this one was the worst? - Sat Dec  5 08:41:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh yes, I met her.~ She's feisty. - Sat Dec  5 08:41:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I heard rumors the one before this Liu Fellow was apparently a bad guy. - Sat Dec  5 08:41:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: -- - Sat Dec  5 08:41:48 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) pursed her lips and went back to drinking her tea. * - Sat Dec  5 08:41:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: *sake. - Sat Dec  5 08:41:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Did I hit a nerve? - Sat Dec  5 08:42:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Was he bad enough to where you don't want to speak on it? - Sat Dec  5 08:42:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: He wasn't a bad guy. - Sat Dec  5 08:43:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Dec  5 08:43:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe I should've stayed in Kirigakure for a while longer.. - Sat Dec  5 08:43:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh? You're the second person to say such. Yet, everyone else says otherwise. - Sat Dec  5 08:43:31 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh, I heard something bad happened in Kirigakure.~ - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I've heard rumors of betrayl, neglect, and over all worthlessness about said Miz- - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh? - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: That place is a place of unrest. Who would ever want to go there? - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hm. - Sat Dec  5 08:46:04 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Perhaps I left Kirigakure too soon? - Sat Dec  5 08:46:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I wonder if Kana and that girl with the dog is alrig- - Sat Dec  5 08:46:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: THE GIRL WITH THE DOG. - Sat Dec  5 08:46:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I OWE HE A DOG TREAT. - Sat Dec  5 08:46:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 08:49:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..no point in dwelling on it. - Sat Dec  5 08:49:29 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: You two. . .are quiet aren't you? - Sat Dec  5 08:50:20 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) peered over to the two, "sometimes quiet is the best thing to enjoy about your day.~"* - Sat Dec  5 08:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Dec  5 08:52:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry, I'm still thinking about that broth. - Sat Dec  5 08:53:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: broth for sloths.~ - Sat Dec  5 08:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Psh.. - Sat Dec  5 08:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How old are you? - Sat Dec  5 08:53:45 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) leaned across the stool beside her and whispered to Nigen in a drawn out long whisper, "Sloooooooooooooooooooooooth.~"* - Sat Dec  5 08:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .............. - Sat Dec  5 08:54:36 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Are those two weird? Or am I the Weird one? - Sat Dec  5 08:54:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) sat up quickly with perk and drank her sake, "Hmmm how old am I, take a guess, take a gander, think a while and maybe ponder.~"* - Sat Dec  5 08:55:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Nah, they are the weird ones~ Yep, Yep~ - Sat Dec  5 08:56:19 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: We have a red head guy that I met once. . . - Sat Dec  5 08:58:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 08:58:01 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: And a weird, yet somewhat cute girl, who seems to have no flaws. . .yep. Weirdddd. - Sat Dec  5 08:58:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I want to say..around thirty.. - Sat Dec  5 08:58:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Lookie there! - Sat Dec  5 08:58:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You got it, ding ding ding. - Sat Dec  5 08:58:52 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) looked sixteen.* - Sat Dec  5 08:58:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahaha. - Sat Dec  5 08:58:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: She is Thirty? Damn. I need to go get glasses. - Sat Dec  5 08:58:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You deserve a gold star.~ - Sat Dec  5 08:59:44 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Gold Star!? - Sat Dec  5 08:59:44 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I want a gold st- she was kidding. - Sat Dec  5 08:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No need, just being correct is a reward in itself.. - Sat Dec  5 08:59:44 2015
