<br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe...She'd take out a kunai and tossed it directly at mitsunara, a fake explosive tag on the end as it'd zoom past her..Wether she were distracted by it or not, momura kept up with her location. The girl suddenly zooming forward at full speed, a good 129mph in an instant. As she did this, the girl leapt into the air and aimed to nail her foot right into the female's face.

"D-Dynamic entry!"* - Mon Nov  9 21:38:20 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) put another sign down.* - Wed Nov 11 04:38:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: I-I set them d-down.. - Wed Nov 11 04:42:01 2015
<br><br><font color=teal>*Jay(Serori2) says: Sounds like you had a pretty good family life as well then. - Wed Nov 11 04:42:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: N-Nice. - Wed Nov 11 04:45:26 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) changed into her waitress attire as she'd walk over towards the table with a notebook and pencil, she'd hand jay a menu, as well as paine if she wanted. (mainly cuz they're limited)

"U-Uhm..Welcome to the h-hungry ant...My name is m-momura..I'll be your waitress for today.." She'd take a quick breathe, "W-Would you like any beverages to start you off?"* - Wed Nov 11 04:47:08 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: w-wahh - Wed Nov 11 04:53:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm - Wed Nov 11 04:53:58 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) poofed.* - Wed Nov 11 04:53:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) thinks: g-grilled c-chicken..m-mara..wahh.. - Wed Nov 11 05:03:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . .. . . - Wed Nov 11 05:03:21 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) plopped back at the table, "H-Have you decided upon anything yet?"* - Wed Nov 11 05:07:37 2015
<br><br><font color=teal>*Jay(Serori2) says: We'll take one of everything!! - Wed Nov 11 05:07:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: E-Everything? - Wed Nov 11 05:07:37 2015
<br><br><font color=teal>*Jay(Serori2) says: Yeah, if you don't mind. - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: T-That's...a lot. - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Wed Nov 11 05:08:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) looked back at hanai, simply writing down, 'One of everything' And walking off.* - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: w-wahh... - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: One of everything. - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: -Everything- - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Jay(Serori2) thinks: This is gonna be great. - Wed Nov 11 05:08:28 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i-i will just h-have water - Wed Nov 11 05:11:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: W-Watermelon tea and W-Water.. - Wed Nov 11 05:11:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay... - Wed Nov 11 05:11:53 2015
<br><br><font color=teal>*Jay(Serori2) says: Its litterally taking them too long to make this food. - Wed Nov 11 05:13:36 2015
<br><br><font color=teal>*Jay(Serori2) says: And you still haven't even gotten your water? - Wed Nov 11 05:14:27 2015
<br><br><font color=teal>*Jay(Serori2) says: This is crazy. - Wed Nov 11 05:14:27 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grabbed the glass of water and the watermelon tea, suddenly appearing behind paine as she'd place the glass down, infront of paine, and the other infront of jay..

"Y-Your food will be here soon."* - Wed Nov 11 05:17:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Radish cake is done! - Wed Nov 11 05:20:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: e-eight? - Wed Nov 11 05:21:16 2015
<br><br><font color=teal>*Jay(Serori2) says: I need to stay hydrated for my training. - Wed Nov 11 05:22:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Wed Nov 11 05:22:08 2015
<br><br><font color=teal>*Jay(Serori2) says: By the way! I'm gonna need refills on those! - Wed Nov 11 05:22:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) went back to the kitchen....

"E-Eight glasses of water as well...And another Watermelon tea.."

She'd then take whatever he had finished, walking to the table and setting it down, "M-More is coming." She'd say, walking back to get the drinks, or more food.* - Wed Nov 11 05:22:59 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grabbed the wooden tray with the refilled tea, and the water, walking back to the table and spreading it out infront of them, Making sure it was all fine. She'd then nod, "M-More is coming.." She'd then walk back to the kitchen.* - Wed Nov 11 05:25:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's let them finish that. - Wed Nov 11 05:27:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll work on the rest. - Wed Nov 11 05:27:15 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) takes the plate, and sets it down at the table, walking back. Their table was full.* - Wed Nov 11 05:27:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: But it'll take some time to marinate the spicy sauce into the grilled chicken.  - Wed Nov 11 05:28:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 05:28:06 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-oh my... - Wed Nov 11 05:33:13 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm.. - Wed Nov 11 05:33:13 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 05:34:04 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) went back and refilled the water, coming back with them refilled and leaving.* - Wed Nov 11 05:34:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Mmmm.... - Wed Nov 11 05:34:56 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) appeared at huey's table with a notepad and pencil, "H-Hello, My name is m-momura and I'll be your waitress today.." She slid him a menu, "W-Would you like to start off with any b-beverage today?"* - Wed Nov 11 05:37:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 05:40:03 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) takes the menu back, as wlel as the one paine and jay had, going back to hanai.

"W-We also need another Watermelon tea and Fried chicken strips..N-No sauce.."* - Wed Nov 11 05:40:54 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) sets the watermelon tea next to huey, "F-Food will be ready s-soon.." She'd then head back to the kitchen.* - Wed Nov 11 05:42:36 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) put the chicken strips infront of huey, "H-Here you go."* - Wed Nov 11 05:43:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) also walked off after that.* - Wed Nov 11 05:43:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've appeared infront of huey the moment he attempted to leave without paying the full bill.* - Wed Nov 11 05:48:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You have to pay for it all. - Wed Nov 11 05:49:26 2015
<br><br><font color=teal>*Huey(LolrZ) says: Ummm? - Wed Nov 11 05:49:26 2015
<br><br><font color=teal>*Huey(LolrZ) says: That is obviously the entire check. - Wed Nov 11 05:49:26 2015
<br><br><font color=teal>*Huey(LolrZ) says: Go and check. - Wed Nov 11 05:50:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ..... - Wed Nov 11 05:51:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It's just one yen. - Wed Nov 11 05:51:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You have to pay the r-rest.. - Wed Nov 11 05:51:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: It's only one yen. - Wed Nov 11 05:52:51 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grabbed huey's hand the moment he tried to touch her, gently pushing him back.

"Y-You have to pay it all..."* - Wed Nov 11 05:53:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . - Wed Nov 11 05:55:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Sir.... - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You did not pay the check though. - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You left one yen. - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh, padon.. - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm here to pick up an order. - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: J-Just pay the money.. - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: --Oh. - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-What is it that you ordered? - Wed Nov 11 06:00:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry, there's a little scuffle here. - Wed Nov 11 06:01:23 2015
<br><br><font color=teal>*Huey(LolrZ) says: Nah, this fools are tryna gang up on me.  - Wed Nov 11 06:01:23 2015
<br><br><font color=teal>*Huey(LolrZ) says: Charge me extra for my damn food! - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Is there somethign wrong here? - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ... - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-A customer isn't paying for his food. - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-THat's all. - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Who isn't? - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: This one before me. - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Jay(Serori2) says: It's okay, we've got it dealt with. - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Huey(LolrZ) says: I paid, you liar! - Wed Nov 11 06:02:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You...paid one yen.... - Wed Nov 11 06:03:05 2015
<br><br><font color=teal>*Huey(LolrZ) says: I paid the whole damn price! - Wed Nov 11 06:03:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's his bill? - Wed Nov 11 06:03:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: It'd be ten-thousand yen. - Wed Nov 11 06:03:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What the fuck...? - Wed Nov 11 06:03:56 2015
<br><br><font color=teal>*Huey(LolrZ) says: It was ten-thousand.... - Wed Nov 11 06:03:56 2015
<br><br><font color=teal>*Huey(LolrZ) says: Before I paid it off. - Wed Nov 11 06:03:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You left only one yen behind. - Wed Nov 11 06:03:56 2015
<br><br><font color=teal>*Huey(LolrZ) says: YOU ARE OBVIOUSLY BLIND, LET SOMEONE ELSE CHECK THE MONEY THEN! - Wed Nov 11 06:04:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 06:04:48 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) let yan in.* - Wed Nov 11 06:05:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I already ordered ,thanks. - Wed Nov 11 06:05:39 2015
<br><br><font color=teal>*Huey(LolrZ) whispers: Fuck you, kid. - Wed Nov 11 06:06:30 2015
<br><br><font color=teal>*Huey(LolrZ) whispers: Next time you try to charge me extra..... I'll kill you. - Wed Nov 11 06:06:30 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Wed Nov 11 06:07:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . . . - Wed Nov 11 06:07:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Wed Nov 11 06:08:12 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grabbed huey's shoulder, "P-Please don't make threats.."* - Wed Nov 11 06:13:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Don't do anything rash, Hanai. - Wed Nov 11 06:15:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Just try to reason with them. - Wed Nov 11 06:15:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Alright. - Wed Nov 11 06:15:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: weapon out. - Wed Nov 11 06:15:02 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm... - Wed Nov 11 06:15:02 2015
<br><br><font color=teal>*Jay(Serori2) says: Huey is gonna hella escape - Wed Nov 11 06:16:44 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) just kinda watched, she wasn't that strong of a fighter.* - Wed Nov 11 06:26:59 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) zoomed forward and grabbed jay, saving him from being hurt.* - Wed Nov 11 06:27:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yep.. - Wed Nov 11 06:33:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . .  . - Wed Nov 11 06:35:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You're very strong, ma'am. - Wed Nov 11 06:35:31 2015
<br><br><font color=teal>*Jay(Serori2) says: What the hell?! You almost kicked me!! - Wed Nov 11 06:35:31 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i-i appologize... - Wed Nov 11 06:36:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Well then... - Wed Nov 11 06:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai.. - Wed Nov 11 06:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What should we do with him? - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'm not sure. - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Perhaps report him to the police? - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Arrest him, I don't know..... - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Drawing a weapon in the restaurant.... - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..A-Ah well.. - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Can y-you two eat the rest of your food, W-We're actually closing soon.. - Wed Nov 11 06:38:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: In..l-like t-two minutes.. - Wed Nov 11 06:38:56 2015
<br><br><font color=teal>*Jay(Serori2) says: Yeah sure thing. - Wed Nov 11 06:38:56 2015
<br><br><font color=teal>*Jay(Serori2) says: I'll take that bloke of your hands by the way. - Wed Nov 11 06:39:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (Kill it and put it in food for the village - Wed Nov 11 06:39:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (pullin' a zenaki - Wed Nov 11 06:39:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (XD - Wed Nov 11 06:39:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure, take h-him.. - Wed Nov 11 06:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai..let's go h-home... - Wed Nov 11 06:41:29 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-you shouldnt p-poke the k-knocked out....and f-flabby...its u-umm...r-rude... - Wed Nov 11 06:43:12 2015
<br><br><font color=teal>*Midora(Tsundere-san) thinks: I've wanted to do this to someone for a looooooong time... - Wed Nov 11 22:26:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) appeared.* - Wed Nov 11 22:27:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Wed Nov 11 22:32:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Island.boy.dre) - Wed Nov 11 22:35:31 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) had suimen activated, chakra was at their feet to.* - Wed Nov 11 22:43:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ............. - Wed Nov 11 22:50:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Calling for a ruling - Wed Nov 11 22:50:52 2015
<br><br><font color=teal>*Midora(Tsundere-san) thinks: I could've made him flash his groin for everyone to see. Or pose like a french girl.. - Wed Nov 11 23:02:49 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked, hearing shira's voice...It was recognized almost instantly, Momura didn't forget voices, that was for sure. She'd suddenly appear infront of shira and grabbed his throat, "Y-You're the one who pretended to be j-jiki and threatened h-hanai!" She'd say angered, tossing him down behind her towards jiki rather fast.* - Wed Nov 11 23:02:49 2015
<br><br><font color=teal>*Midora(Tsundere-san) thinks: oh shit - Wed Nov 11 23:03:40 2015
<br><br><font color=teal>*Midora(Tsundere-san) thinks: -omit- - Wed Nov 11 23:03:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 23:03:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 23:07:56 2015
<br><br><font color=teal>*Midora(Tsundere-san) whispers: From tip. - Wed Nov 11 23:08:48 2015
<br><br><font color=teal>*Midora(Tsundere-san) whispers: Ye... I learned from Tip! - Wed Nov 11 23:09:39 2015
<br><br><font color=teal>*Midora(Tsundere-san) thinks: He didn't fall for it. - Wed Nov 11 23:11:21 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I didn't do anything. You can get Sanoke to check me .. - Wed Nov 11 23:13:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh? - Wed Nov 11 23:13:55 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 23:13:55 2015
<br><br><font color=teal>*Midora(Tsundere-san) whispers: Subpar, kekeke. - Wed Nov 11 23:13:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I could try that technique, but I'm not as advanced.. - Wed Nov 11 23:14:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I didn't do anythinng! - Wed Nov 11 23:14:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I remember his voice, he was a-at my door.. - Wed Nov 11 23:17:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Tskkk. This one hurts more than Sanoke's. Maybe he sucks at it. - Wed Nov 11 23:20:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I did not attack the both, and I did not transform into you. - Wed Nov 11 23:21:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: He simply had his voice masked, and said he was you. - Wed Nov 11 23:21:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I never said he transformed or attacked us, only threatened. - Wed Nov 11 23:21:36 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: People's voices can sound the same! - Wed Nov 11 23:21:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What are you doing? - Wed Nov 11 23:22:27 2015
<br><br><font color=teal>*Midora(Tsundere-san) says: They're interrogating this kid. - Wed Nov 11 23:23:18 2015
<br><br><font color=teal>*Midora(Tsundere-san) says: Well.. sand guy is. - Wed Nov 11 23:23:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Well he didn't do it. - Wed Nov 11 23:32:41 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Release him. - Wed Nov 11 23:32:41 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Tsk tsk tsk. - Wed Nov 11 23:34:24 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: That hurts alot. - Wed Nov 11 23:34:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Release him he's Hokuma property. - Wed Nov 11 23:34:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Nov 11 23:34:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: He did do it! - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I remember his v-voice exactly.. - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mirai... - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Property? - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mirai nothing i've witnessed you utilize the jutsu. - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I am one hundred percent sure. . We don't allow slavery in Suna. .  - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: He didn't do it. - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So release him. - Wed Nov 11 23:35:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'm very certain he did it. - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I would like to put some trust into a person who witnessed the scene. - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: And not rely on trust factors or assumptions of character. - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'd trust the jutsu. - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: People lie all the time. - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It's not Slavery, - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm apart of her family. - Wed Nov 11 23:36:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: What reason is there for her to lie? - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Because people are devious people. - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You're distrustful. - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: And you're biased towards him as he is apart of your family. - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . .  . - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Saeza was killed and the person fled. - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: ALRIGHT! - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: JIki - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Come Shiza. - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Hold up - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm done. - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm.... - Wed Nov 11 23:36:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Fucking release him. - Wed Nov 11 23:37:48 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: c-can we put t-this spar o-on h-hold? - Wed Nov 11 23:37:48 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: im a b-bit distracted...b-by whats h-happening s-south of us - Wed Nov 11 23:37:48 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: AS A JOUNIN! I am ordering you all to DISPERSE! All people, AND ONLY THE PEOPLE, involded int he crime will come with me. NOW! - Wed Nov 11 23:37:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-thankyou... - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: As second in command of the police force i'm handling the issue. - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Try again. - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I out rank you - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: . - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Move along - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: This is my job. - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: AND THIS IS MINE! - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: MOVE ALONG! - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: He clearly didn't do anything. - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I WILL BE THE JUDGE OF THAT! - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: According to the jutsu. - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He did. - Wed Nov 11 23:38:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That isn't your job it's mine. - Wed Nov 11 23:39:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ..... - Wed Nov 11 23:39:31 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Why is she yelling? - Wed Nov 11 23:39:31 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: It's so....Loud.. - Wed Nov 11 23:39:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Cause she's pressed. - Wed Nov 11 23:39:31 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: And unncessary. - Wed Nov 11 23:39:31 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: It is mine when you are too close to the issue.  - Wed Nov 11 23:39:31 2015
