<br><font color=teal>*Sumie(Ninask115) says: Hmm....? - Fri Oct 30 17:26:36 2015
<br><br><font color=yellow>*Sumie(Ninask115) follow follow? yeeah, that's what she'll do* - Fri Oct 30 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You know Suiton, correct? - Fri Oct 30 17:42:49 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: No, techniques. - Fri Oct 30 17:44:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Is he serious, he knows I can kill him with a flick of my wrist-- right? - Fri Oct 30 17:47:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh my, hello guys. - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: From aunt Lera. - Sun Dec 13 18:44:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No, I'll give him my million. - Sun Dec 13 18:44:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You have more than a million right? - Sun Dec 13 18:45:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know what, don't worry about it. - Sun Dec 13 18:45:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah. - Sun Dec 13 18:45:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What do you need me to give you? - Sun Dec 13 18:45:29 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: So. . What do you want for the million? - Sun Dec 13 18:45:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: The best sword that you can make for the million. - Sun Dec 13 18:46:20 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: I could still beak it. - Sun Dec 13 18:46:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: If you want to pay a million, I will pay half and you pay half. - Sun Dec 13 18:46:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. - Sun Dec 13 18:47:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . .  - Sun Dec 13 18:47:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Thats a pet peeve of mine. - Sun Dec 13 18:47:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: THere is no such thing as a 'best sword.' - Sun Dec 13 18:47:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Just what you want. - Sun Dec 13 18:47:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, get me a sword with your village destroying lazer on it. - Sun Dec 13 18:48:03 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Make her a sword that can withstand a direct hit from a gates empowered taijutsu specialist. - Sun Dec 13 18:48:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, if that's enough for a diamond sword, then I can swing that sword around. - Sun Dec 13 18:48:03 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Impossible. I was being cheekish. - Sun Dec 13 18:48:03 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: To make one like-- - Sun Dec 13 18:48:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know how special you are to get me to pay 500 thousand on something that I'm not even getting? *laughs* - Sun Dec 13 18:48:03 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A sword made of diamond would cost you ten million. - Sun Dec 13 18:48:54 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Diamonds aren't cheap. - Sun Dec 13 18:48:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I have never done any shit like this before. .  .hahahahaha. - Sun Dec 13 18:48:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh. . . .  - Sun Dec 13 18:48:54 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ........then get me the best sword that you can.......inside of my money limit. I don't know what else to say. - Sun Dec 13 18:48:54 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Remake Nuibari okay. - Sun Dec 13 18:49:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: -omit- - Sun Dec 13 18:49:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Diamonds are shiny. . . . Probably why it is so expensive. . .  - Sun Dec 13 18:49:45 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Eh. - Sun Dec 13 18:51:28 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Chhakra enhanced metal is your thing? - Sun Dec 13 18:51:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I can't push my own chakra into it, but if you could do it on your own somehow that'd be wonderful. - Sun Dec 13 18:52:19 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Do it on it's own..? - Sun Dec 13 18:54:01 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Possible, but not within the payment. It'd take me far too long. - Sun Dec 13 18:54:01 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'll whip something up. - Sun Dec 13 18:54:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, how much would the chakra-enhanced one cost? - Sun Dec 13 18:54:52 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Around a million. - Sun Dec 13 18:55:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: We just gave you a mi-. - Sun Dec 13 18:55:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. - Sun Dec 13 19:02:33 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Hm? - Sun Dec 13 19:02:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You want to do some training with me Baby? - Sun Dec 13 19:03:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? Sure - Sun Dec 13 19:06:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Let's go somewhere and get started then. - Sun Dec 13 19:09:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. - Sun Dec 13 19:10:14 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Marco was it? - Sun Dec 13 19:12:48 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: A loan. - Sun Dec 13 19:15:21 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Can I have one? - Sun Dec 13 19:16:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A loan? Mmm. .That's a first request. But one I am willing to entertain. - Sun Dec 13 19:16:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A chat over tea? - Sun Dec 13 19:16:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Quite the hefty price.. - Sun Dec 13 19:26:27 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Interest? - Sun Dec 13 19:26:27 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Indeed. Do you not agree to that?  - Sun Dec 13 19:27:18 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: No. - Sun Dec 13 19:28:09 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Woman with the pink hair. - Sun Dec 13 19:29:52 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Can I have two million - Sun Dec 13 19:29:52 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I don't have two million. - Sun Dec 13 19:29:52 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hello everyone. - Sun Dec 13 19:32:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Tsuki. - Sun Dec 13 19:33:16 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hello Mirai. - Sun Dec 13 19:33:16 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: How are you today ma'am? - Sun Dec 13 20:02:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm doing fine and yourself Tsuki? - Sun Dec 13 20:05:42 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I am doing alright. - Sun Dec 13 20:09:58 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I think i'm gonna try to get super strong. - Sun Dec 13 20:12:32 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I'll train every day. - Sun Dec 13 20:14:14 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Go for it. - Sun Dec 13 20:27:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So when are you going to start your training Tsuki? - Sun Dec 13 20:31:18 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Tomorow. - Sun Dec 13 20:31:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll help you. - Sun Dec 13 20:33:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: If you want. - Sun Dec 13 20:33:00 2015
