<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh? - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Sogeki never did that for me. . . - Thu Dec  3 09:29:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmph...I don't like interrogations... - Thu Dec  3 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I never did this to Akarui because he got in trouble before from touching her. - Thu Dec  3 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: omit. - Thu Dec  3 09:30:27 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) itachi's Yuriko and pokes her forehead. "Fine.. Next time, Yuriko."* - Thu Dec  3 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Go handle your business with mister buzz kill. - Thu Dec  3 09:31:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heheh, I'll be back. Then we can talk~ - Thu Dec  3 09:31:18 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: We already are friends. . .in a story apparently -omit- - Thu Dec  3 09:31:18 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: It was nice knowing you, guy. - Thu Dec  3 09:33:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Just eat her ass and try to live. - Thu Dec  3 09:33:00 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) walked off to the side* - Thu Dec  3 09:33:00 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: S-Sogeki. . . . - Thu Dec  3 09:33:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm? - Thu Dec  3 09:33:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You wouldn't back away so I had to play it safe.. - Thu Dec  3 09:33:52 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: Not that. . . - Thu Dec  3 09:33:52 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: Y-You spun her. . . - Thu Dec  3 09:34:43 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looked a bit confused.* - Thu Dec  3 09:34:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'd do the same to you, but you're wearing a skirt. - Thu Dec  3 09:34:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I respect you on a higher level than I do her. - Thu Dec  3 09:34:43 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: . . .Do it when no one else is around then. . .O-Or I'll go put pants on. . . - Thu Dec  3 09:34:43 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) blinked a few times, sighs and diverts his eyes.* - Thu Dec  3 09:35:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Right.. - Thu Dec  3 09:35:34 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: W-What? - Thu Dec  3 09:35:34 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: Don't keep things to yourself. - Thu Dec  3 09:35:34 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: If I'm aggravating you. . .or anything, tell me. - Thu Dec  3 09:36:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I didn't think that'd bother you. - Thu Dec  3 09:36:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Wouldn't have done it. - Thu Dec  3 09:36:25 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: W-Well it's not that you did it. . . - Thu Dec  3 09:36:25 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: It's just. . .I haven't done it before. . . - Thu Dec  3 09:36:25 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: I want to try it. . . - Thu Dec  3 09:36:25 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: It looked fun. . . - Thu Dec  3 09:37:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Then just say you want to try.. I'll do it when we have a chance. - Thu Dec  3 09:38:59 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: T-There are a lot of things I want to try. . . - Thu Dec  3 09:39:50 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Like? - Thu Dec  3 09:39:50 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: O-Oh! You want to know now? Uh. . . - Thu Dec  3 09:41:32 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: Well that. . . - Thu Dec  3 09:41:32 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: A-And a lot of other things. . .w-we can talk about it later. - Thu Dec  3 09:42:24 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: I really wanna hold his arm. . . - Thu Dec  3 09:42:24 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: S-So we can't do anything in public? - Thu Dec  3 09:43:15 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Perhaps I should worry about that after I fix my body. . . - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: I'm so hungry. . .yet I'm not. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What would you like to do? - Thu Dec  3 09:45:48 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: U-Um. . .I want to hold onto your arm. . and be close to you. . .but that's a lot isn't it? - Thu Dec  3 09:46:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean we're standing right next to each other. Holding each other will only start what we're trying to avoid. - Thu Dec  3 09:46:40 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: I-. . . .I know. Sorry. - Thu Dec  3 09:47:31 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: I should be worrying about eatting right now any way. . . - Thu Dec  3 09:47:31 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Go a head and send your monkey for food. Eat here so I can keep an eye on you. - Thu Dec  3 09:47:31 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: E-Eh! - Thu Dec  3 09:47:31 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: I dunno i- - Thu Dec  3 09:48:22 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) stepped to the side.* - Thu Dec  3 09:48:22 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Traitor. - Thu Dec  3 09:49:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I had my hug, she can have hers. - Thu Dec  3 09:49:13 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) stood off to the side, he didn't want to think about what design coffin he wanted.* - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Anyway, I think Sogeki wanted to ask you some questions? - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Huh? Oh.. yeah... - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Interrogation. - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You aren't going to hurt me are you? - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hurt? Why would we hurt our friend? - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: They can't hurt me.. they aren't real. - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hmph. That's silly. - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: We wouldn't hurt out cute Yuriko-Chan!~ - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Why do they FEEL so real? - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: I remember. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Had to add the 'chan'. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Or she got pissed. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: H-heh. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hm. . .Are you okay Yuriko-chan? - Thu Dec  3 10:00:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Thu Dec  3 10:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I don't want to question her anymore.. - Thu Dec  3 10:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Nope. No sirrrr. - Thu Dec  3 10:02:01 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: S-Sogeki. . .help me. . . - Thu Dec  3 10:02:01 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sighed. "Oi, Yuriko. Stop playing around. You ready for that interrogation?"* - Thu Dec  3 10:02:52 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded and walks off. "We'll be back, Akarui."* - Thu Dec  3 10:03:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: He'll be alone with her? T-Trust Akarui. . .trust him. - Thu Dec  3 10:03:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: O-Oh? Please don't take long. . . - Thu Dec  3 10:03:44 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) || The house is relatively bland. There was a small kitchen, a small bedroom that was also the living room and a small bathroom. It was a basic poorman's home. Despite the million Yuriko gave him weeks ago, he still decides to live the modest life. For the most part, however, the most expensive thing there, in the house, was the air conditioning system.

Just as they entered the home, he'd turn around to face her and look her in the eyes. It was obvious that he was searching for something in her gaze, something past her pupil color. "Explain," he says in a hushed tone. "This isn't you.. you're more.. outgoing.. Who are you..?"* - Thu Dec  3 10:19:05 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's narrowed once more as he scans over her body. He knows that he had paid attention to her physical standings the first time he met and from just a quick glance he didn't notice anything different. The second she diverts her eyes from his own he knew something was up --- Yuriko spent hours staring him down over a single bottle of sake, there was no way this was the same Yuriko. "What do you mean I'm not real..? Explain to me.."* - Thu Dec  3 10:23:21 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's narrowed eyes widens to normal. He slowly shook his head and a thicker expression of confusion plasters itself on his visage. Slowly, with much hesitance, he'd reach for her right wrist and gently take hold of it. From there, if he was allowed, he'd put it over his left chest and allow his heartbeat to be felt. "Explain.."* - Thu Dec  3 10:25:55 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) slowly shook his head. "No, Yuriko.. I'm really here," he says in a hushed tone. "What.. happened?"* - Thu Dec  3 10:28:28 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) would maneuver his hand, that he used to grab her wrist, and placed his palm into hers. He ties his fingers into her and leans his head to the side a bit, keeping full eye contact with her. "What.. do you mean broke you? Who is your 'monster'?"* - Thu Dec  3 10:31:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: From confident, unknowing and.. innocent.. - Thu Dec  3 10:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: To trembling.. fearful.. and.. not here.. - Thu Dec  3 10:32:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: The family member.... - Thu Dec  3 10:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: "Broke" her is an understatement. - Thu Dec  3 10:32:44 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) reached up and caught her hand before it could make contact with her head. He placed it down to her side and released it just to bring his own hand back up and place his index finger under her chin. "It's just me and you here.. no one else. It's okay.." He trails that same hand around to the back of her neck and gently, and swiftly, pulls her into a hug, embracing her. "Talk to me, Yuriko."* - Thu Dec  3 10:36:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I tried to stop him... - Thu Dec  3 10:37:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: But I didn't kill him... - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: So he broke me. - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I had to be punished. - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Who.. is this family member, Yuriko? What do you mean he had to punish you..? - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You're not his pet.. - Thu Dec  3 10:38:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: Y-yes I am... - Thu Dec  3 10:38:43 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) tightened his embrace, wrapping his arms completely around her.* - Thu Dec  3 10:38:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Says who, Yuriko..? - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Him..? - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: Y-yeah... - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Well it's lie.. You're no ones' pet.. - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: C-can you not call me... Yuriko.... - Thu Dec  3 10:39:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: .... - Thu Dec  3 10:40:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Of course, what do you want me to call you? - Thu Dec  3 10:40:25 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: My name is Ume.... - Thu Dec  3 10:41:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I can't stay... aware very long. - Thu Dec  3 10:41:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: He broke my mind. - Thu Dec  3 10:41:16 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) pulls his head back from over her shoulder as far as he can in an attempt to get eye contact with her. "Me and you, Ume.. Me and you.." If he was able to meet her gaze he'd place his forehead against hers and star even deeper into her, "you told me that you were a weapon.. that being a weapon was your purpose.. does that have to do with your 'monster breaking' you?"* - Thu Dec  3 10:42:59 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's confusion only grew, but he still nodded against her forehead. "He did this to you.. Leave him.. forget him.. stay here.. we'll take care of you.."* - Thu Dec  3 10:45:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: He took control of everything I have left... I can't leave. - Thu Dec  3 10:45:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I have to get it back. - Thu Dec  3 10:45:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I should have killed him... when I had him under control. - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: He controls me mind often now....  - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: E-every day. - Thu Dec  3 10:46:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: .... - Thu Dec  3 10:46:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) bites down on his lower lip in slight anger.* - Thu Dec  3 10:47:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: This.. guy.. - Thu Dec  3 10:47:15 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) only tightened his embrace to keep her from tumbling over. Anger was forming in him and he was trying his hardest not to make it shown and interpreted as her being the one making him angry.* - Thu Dec  3 10:48:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Do you need help..? - Thu Dec  3 10:48:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: S-slipping..ngng... not real...ngng.. have...army...ngn..not reall..not real...stories...fairy tales...stories...no real. - Thu Dec  3 10:48:57 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was now completely confused. He kind've understood what Yuriko meant about her 'monster breaking her', but this was close to crazy. The sudden change in demeanor right after the words she muttered --- what did this family member do to her? He just leaned his head back and watched her for a bit.

"Don't worry about her, she'll be fine. Uhh, how are you feeling?"* - Thu Dec  3 10:52:22 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...Her? - Thu Dec  3 10:53:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Smarty-kun has girl parts? - Thu Dec  3 10:53:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So flat... - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Weird. - Thu Dec  3 10:54:56 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) blinked a few times. His attempt to wing her statement failed. "Uhh, remind me who 'smarty-kun' is again?"* - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Girl's can have flat bits? - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Takuma. - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm. - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Smarty-kun.~ - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: And kage-kun is Tease-kun. - Thu Dec  3 10:54:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Ahh, I see. - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Guess he tried to hit.. - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Savage. - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Do you want me to let go? - Thu Dec  3 10:55:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes.~ - Thu Dec  3 10:56:38 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) complied.* - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I cant have you being posessive of my hugs.~ - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You know how Akarui-chan got.~ - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Possessive..?- - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ahh, ahh. - Thu Dec  3 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: And that must go back to her 'family member' that considers her a 'pet'.. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I should go home now, I got what I came for. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Even back then.. shit flew under the radar. - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Wait, what did you come for? - Thu Dec  3 10:57:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I made the deal with the village leaders. - Thu Dec  3 10:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Deal.. - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The one about the prisoners? - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: They let me eat the prisoners to be executed, I don't eat their people. - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Eat..? - Thu Dec  3 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Like.. legit.. eat? - Thu Dec  3 11:00:03 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ - Thu Dec  3 11:03:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Nom nom. - Thu Dec  3 11:03:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Right, uhh.. - Thu Dec  3 11:04:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Right... - Thu Dec  3 11:04:19 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I know it's creepy right?~ - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I can't judge.. - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But.. - Thu Dec  3 11:05:10 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded, "yes. Yes it is."* - Thu Dec  3 11:05:10 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I haz to go! - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I've been gone a long time! - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Promise me you'll be back. - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Promise. - Thu Dec  3 11:06:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why else would I make sure there is food for me here.~ - Thu Dec  3 11:06:01 2015
