<br><font color=teal>*Kuro(Ichigo10101) says: Sure. I don't see any harm in doing so. - Sun Nov  8 00:11:56 2015
Yan was simple standing there. While it was a corridor, the ending opened up into a widened room with a dome top and that's where Yan awaited his sparring partner. "Echooooo~~~~" And so it did.* - Sun Nov  8 19:23:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Oh they're sparring. - Sun Nov  8 19:23:56 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) smirked. He knew instantly when his clone was killed. That being said, his plan went into effect. The clone who had been underground surfaced quickly at the gaping hole that was the only exit. It would quickly perform a number of seals before an earthern wall was erected, thus sealing the corridor. 

Yan, on the other side, as Kurt was fleeing towards what would be a sealed opening by the time he got there, would form a single seal--extinguishing his Kawrimi. On the other hand, the measure of a small lake projected from his mouth. 

He aimed it straight into the corridor, surging with increased pressure as it was shaped into the corridor and as such more water needed to move in a smaller area. It would rush towards the mud wall and  Kurt--threatening to smash him into it.* - Sun Nov  8 19:36:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: 39) - Sun Nov  8 19:38:27 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) once the water had been fully released, the other clone would be finishing up a new technique. That being said, another mud wall would appear on the opposite side of the corridor, effectly locking him into a fish tank.

Yan would bend his knees and leap towards the wall, simultaneously transferring chakra into it as he latched on. This would allow him to burrow through the opening where his clone would follow. They would stand ontop of the corridor, and soon accompanied by the clone who had been on the other side of the wall. All three of them would start performing seals simultaneously.* - Sun Nov  8 19:49:32 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) heard the wall break. The pressure was too much for the clone's wall to hold in. As a result water filled the container and spewed out the hole at the top.

The pressure of the water soon forced a bigger hole, until it was no longer fueling the momentum of the water. Since no one came out, Yan quickly deduced that the boy was down and would send his clones to retrieve the ninja.* - Sun Nov  8 19:53:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'!  - Sun Nov  8 19:53:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....Yeah, but just a few.  - Sun Nov  8 19:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Kilm... - Sun Nov  8 19:56:22 2015
<br><br><font color=teal>*Kurt(Zygman) says: Alright. - Sun Nov  8 19:56:22 2015
<br><br><font color=teal>*Kurt(Zygman) says: Thanks for the training. - Sun Nov  8 19:56:22 2015
<br><br><font color=teal>*Kurt(Zygman) says: I'll be going now. - Sun Nov  8 19:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No problem... - Sun Nov  8 19:56:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi yan. - Sun Nov  8 19:58:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-See you later. - Sun Nov  8 20:06:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm.. - Sun Nov  8 20:07:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But you shouldn't have used force aganst that man. I'm sure the situation could of been avoided through words. - Sun Nov  8 20:08:19 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) happened upon the scene, watching those in it as he approached.* - Sun Nov  8 20:08:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well he had grabbed me, if I don't react I'll surelly be killed with knowing it. Just like my dad said. - Sun Nov  8 20:09:10 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So your response to people grabbing you is to attack them? - Sun Nov  8 20:10:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's going on? - Sun Nov  8 20:10:01 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) speaks in a way that would perhaps garner attention to his inquiry.* - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: If I don't know them of course, and they come up without saying hello! - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: A conflict arose and we have an unconscious fellow on the ground. - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Someone be a little more specific... - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You'd have to ask one of these two females. - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I didn't put enough strength behind the attack. It was only strong enough to knock him out. - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: Do you both hate him? - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't -like- him.. but I don't like him either... - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I wouldn't have gotten involved.... but I don't like unecessary bloodshed..... - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If anyone puts their hands on you, and you don't know them, you have plenty of reason to use  reasonable force. - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, you aren't a ranked ninja here. I appreciate your desire to do things peacefully, but this is a militaristic ninja village. - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: Why are all of these shinobi so offensive? - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Actions have consequences. - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Kurt(Zygman) says: Is everyone in favor of a punishment towards this guy? - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I'm alive so I don't care. My life was all I was worried about. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji will decide what's to be punished, as well as Hassan. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you have a complaint about the guy, file that complaint with Koji and he'll handle it appropriately. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: All actions have consequences, it's the rule of the world.  If I take a step, the ground beneath me will get an imprint of my foot. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: However, to use force on an unsuspecting male when the situation could have been solved peacefully, is rather saddening. - Sun Nov  8 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I suggest everyone keeps their hands to themselves unless everyone involved is on the same page. - Sun Nov  8 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be reporting this to Koji, though. - Sun Nov  8 20:17:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So he will maybe question some people here over it. - Sun Nov  8 20:17:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I be open to talk when ever you need me too! - Sun Nov  8 20:18:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right. - Sun Nov  8 20:21:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Same for me.. -@Yan- - Sun Nov  8 20:25:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just a matt.  - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um.. Chikyu was it? I guess kenjutsu's your specialty....? - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Matt. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mattuku. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mattukuoro. - Sun Nov  8 20:26:14 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) yawns slightly and reaches into his satchel, grabbing a joint as he'd light it and casually hit on it as he observed the group.* - Sun Nov  8 20:27:05 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Again with Kenjutsu, I just use this sword. No jutsus at all! - Sun Nov  8 20:27:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Do you know what elements you possess...? - Sun Nov  8 20:27:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Wood and water, but only because that was forced by the academy, Hahaha. - Sun Nov  8 20:28:48 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: its a m-meditative m-mat - Sun Nov  8 20:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Kurt. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Ah, it's good to see one. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I have three elements... Wind, Water and Lightning... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Whose idea was it? - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kurt(Zygman) says: I only have water. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure if I can help but I may be able to teach you two Water-based jutsu... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: But that's if you want... - Sun Nov  8 20:30:30 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) breathes in the marijuana smoke, holding it for a moment before exhaling it. "I'm beat..." He said to Kurt, referencing to the back-to-back spars that had taken nearly half of his chakra.* - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hehe thanks for the offer, but I intend to just focus on swords for now. I'm no good at jutsus anyways. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Kurt(Zygman) says: Did I take a toll on your chakra? - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Alright.. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: im not s-sure.. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have plenty to go around. - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i b-bought one when i was....umm...u-uh in k-kohooa - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: kohonoa' - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah perfect. Uh, could you fill yan in Koji? - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..There is a knocked out guy over there. - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He apparently put his hands on Chikyu and she responded with force. I don't blame her. - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I aint no medic - omit - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: People shouldn't be grabbing on other people unwarranted. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I've also noticed he's a pretty incompetent ninja. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, was he attemptng rape? - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Also...Yan, you're defense still lacks right? - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: He was being creepy..... - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I stopped her from killing him.. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I thought he was attempting to attack! I didn't even notice him to till he grabbed my shoulder. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wouldn't say that, but he makes the kunoichi feel uncomfortable. If they press charges, it could easily be assault. - Sun Nov  8 20:33:55 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods towards Lera, as he trusted her to not misuse the information.* - Sun Nov  8 20:34:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Sun Nov  8 20:34:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: You shouldn't have slashed at him though.... - Sun Nov  8 20:35:37 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm going to teach you this. Okay? - Sun Nov  8 20:35:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: "im black believe it" no jutsu is being performed by lera.. much wow. - Sun Nov  8 20:36:28 2015
