<br><font color=yellow>*Bernadotte(Iron Zorro) laughed even more "So the prude did get offendend which is kind of cute, it really brings out your features." he commented as she was pushed against the wall again. Using both of his hands he aimed to push her away "I will talk about what I want, when I want and however I want you understand me? I do not need you telling me what I can or can't do because the only one that can do that is my Lord Lucifer so I would suggest you stop barking noise and start falling into place as you are in the presense of a superior being." 

If he had successfuly manage to push her away he would move foward bringin his right arm up to grab at her neck aiming to push her against the opposite wall of where he had been pushed "Now here is how things will work from here on out. One, I will stop commenting about your graverobbing anticts while we are in public. Two, we are stuck here together so I suggest you stop being the prude you are and start being nicer to me as dictated by my lord. Three, enough of your supperiority complex as we both know that you are nothing more than simple trash compared to a superior being like me." he would lean in closer to her "Is that understood?" he asked her with a harsh tone of voice.* - Tue Sep 29 16:40:57 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) kept his right hand against her neck and was going to let go when he heard her comment that belittled his Lord. Reaching over with his left hand to unsheeth his blade he would point it at her left eye "Jashing reigns supreme? HA! Don't make me laugh, my Lord Lucifer is the one that reigns supreme above all else. Jashin is a mere peasant compared to him and do not think I do not notice the sarcasm in your voice. Either you start treating me like the superior being that I am or there will be consecuences graverobber."* - Tue Sep 29 16:59:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) released her and sheethed his blade as he was nudged away. "I would be invading more than your personal space but there is that corpse you need to loot so get going."* - Tue Sep 29 17:06:33 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) raised a brow "Hmm? The prude is asking me to show her my dick. Now that is something that you do not see every day." he commented amused by the development that was happening before her. He would bring his right hand down to unhinge his right blade from his belt and attempted to thrust it into the girls stomatch. Since the blade was had not been unsheeth she was in no danger as to get stabbed by it since he was not about to kill someone he knew from his home village but he would inflict pain upon her since he had challenged him to something that his Lord encouraged.

Assuming the hit had gone off without a hitch he would being his left hand up to grab and pull her by the hair with intentions of throwing her against a bed "Be careful for what you wish for graverobber~ It might just come true." he would tease at her as he quickly followed after her to pin her down against the bed leaving the Katana he had used to hit her on the floor since at the moment his focus was on something else more important than his blade.* - Tue Sep 29 17:20:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I want to learn fire techniques. - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What do you know? - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: So far. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: To flare up my arrow, that is all. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Chakra flow? - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Indeed. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then, I suppose it's time I teach you something new. - Tue Sep 29 19:15:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: In anycase. . . We'll be seeing more of each other later. I'll beb ack. - Tue Sep 29 19:23:56 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Did you get the thing? - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Indeed. - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You can be rest asured that next time I see you your ass wil be mine. - Tue Sep 29 19:25:39 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) hated to see her go but loved to watch her leave.* - Tue Sep 29 19:31:37 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: You lack hatred... - Tue Sep 29 19:35:53 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 00:37:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki, just calm down.. - Sun Oct  4 05:42:36 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) slowly placed a hand over his stomatch and walked over to Kojiro "I...dont feel so good." he muttered as she threw up on the mans chest.* - Sun Oct  4 05:43:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: .....This is perfect. - Sun Oct  4 05:44:19 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Go near him.. - Sun Oct  4 05:45:10 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hm... - Sun Oct  4 05:48:35 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would have gotten punched in the nose which only cocked his head back causing the vomit to be shot at Kojiros face. Due to the punch he would topple over as she stoped vomiting since he had discharged everyone on Kojiro by now. As he fell he would flip him off with both hands >Enjoy my vomit on your face.< he thought to himself as his body hit the floor and bounced a bit.* - Sun Oct  4 05:50:17 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) -omit-* - Sun Oct  4 05:51:08 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) vomiting slowly ceased.* - Sun Oct  4 05:51:08 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) wiped his mouth with the palm of his right hand then patted Kojiro on the head "You are a good guy." he told him as he wiped his hand clean using his hair "You are a true bro bro.* - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: . . . . . - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: This nigga.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Just.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This once. - Sun Oct  4 05:53:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck is this. - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tend to my wounds? - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I have no more wounds. - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Hideki(DhatBoiNick) says: Niza.. I've been lusting after yo for so long.. - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: --- - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: YO - Sun Oct  4 05:56:16 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) wiped his mouth with his left palm now and wiped it on Kojiros cheek trying to pretend her was patting him following the good guy quote. He would turn to look at Reguel and shook his head "I am fine now." he told him as he then turned to Asteroth and simply said "I let it all out."* - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: THERES - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Niza. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Can you please. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: PLEASE. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Put me and Reguel in an arena. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why do you dislike him so much? - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He's done nothing to you. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Before I slap you slap my dick against your jaw region with so much strength you develop a fucking over-bite! - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He needs to show some damn respect. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Respect is not given, but earned. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just stay calm.... Hideki. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck you Kuro. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Act like a respectable individual and then respect will come. You're too emotional right now, and treading down a dark path. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't know anything. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Meditate and find inner peace. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kuro. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You've changed a lot since the death of Hanabi.  - Sun Oct  4 06:01:23 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would have gotten wacked on the hand as his other hand was grabed "Oi!" he would exclaim to both parties "You all just need to chill! Bro you are the one that is touching me and you are the one that is rocking out with his cock out." He would turn his head to Asteroth "And you...well you are a prissy pants so let us just be cool and forget that any of this ever happened."* - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thats not what changed me. - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're digging a hole for yourself. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fight me. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right now. - Sun Oct  4 06:02:14 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) -omit-
* - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I will not. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Cause your a puss. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, because there's no reason to fight. - Sun Oct  4 06:02:14 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would have gotten wacked upside the head and which would cause him to topple foward faceplanting onto Kojiros chest slowly sliding down thanks to the hit to the head he had suffered.* - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're acting like a child right now, longing for attention. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think not of yourself, but of those that remain. You still have family on this world. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think of Heiwa. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Sigh, I can't really calm down Hideki so I'll just stand back then. - Sun Oct  4 06:03:56 2015
<br><br><font color=teal>*Reguel(Airide) says: You had a chance to strike me. - Sun Oct  4 06:05:39 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Today.. Has been an interesting day. - Sun Oct  4 06:09:55 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) as currently KO'd sliding down toward Kojiros dick that was getting staffed* - Sun Oct  4 06:09:55 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Well, I should let Hideki relax and I am on my way.  - Sun Oct  4 06:10:46 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) slams against the floor instead since he moved.* - Sun Oct  4 06:11:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: She acts so innocent.. - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So, kid.. Let me tell you about the birds and the - - Sun Oct  4 18:10:59 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) began to jazz hands as soon as he saw Kojiro "Yo~" he would say trying ot creat the guy out but then he turned ot look at Amon "I will what? What am I getting involved with?"* - Sun Oct  4 18:13:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: See lil' man, he agreed to it. - Sun Oct  4 18:14:24 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: What is going on? - Sun Oct  4 18:16:06 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) got his head turned in the childs direction and began to Jazz hands at him "What chu want kid! You want none of these jazz hands! I am warning you!" then suddenly genjutsu happened.* - Sun Oct  4 18:28:03 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would also be giving this stare at him as he was jazz handing at him >https://gyazo.com/0667865988140b26e1ab7480fa859628< then suddenly a giant fire ball began desending from the sky which caused him to panic and caused him to run around in circles "ITS THE END OF THE WORLD!" he would scream at the top of his lungs as he began to feel the heat from the fireball "STOP, DROP AND ROLL! STOP DROP AND ROLL." he would then proceed to thrown himself on the ground and began rolling left and right as the heat got hotter and hotter.* - Sun Oct  4 18:33:10 2015
<br><br><font color=teal>*Callis, Ajax(SuckMyHairyNutz) says: Yo. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Callis, Ajax(SuckMyHairyNutz) says: I- I mean, 'hi!' - Sun Oct  4 18:35:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would stop rolling once the burning sensation was gone "........ I did it!" he would stand up boasting "I have saved the world!"* - Sun Oct  4 18:42:33 2015
<br><br><font color=teal>*Callis, Ajax(SuckMyHairyNutz) says: Urm. . . So. - Sun Oct  4 18:43:24 2015
<br><br><font color=teal>*Callis, Ajax(SuckMyHairyNutz) says: Hi. - Sun Oct  4 18:43:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Sun Oct  4 18:43:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: This nigga comin' up here, and he say 'Hi'? - Sun Oct  4 18:44:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Bern. - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is Niza in the mansion? - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeh. - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I dunno - Sun Oct  4 22:15:53 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: square up lil nigga - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: hachimon tonkou activate - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well then. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This will be fun. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: So... - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ............ - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Baen. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yo.. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hmm? - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck, Baen. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Don't transform in front of Tetsujin. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I would like to request that this fight... - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't want him to eat you. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Take place... - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: In an arena sponsored by Kumogakure. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: The only person allowed to eat you is me. -Omit- - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: So Kubikirisomething isn't the only thing he can eat? - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I assume if he can eat. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: The largest blade I've ever seen. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hmm. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He can deepthroat anything. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Dissapoint me. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: We'll sell tickets....and make profit... - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmmm... - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Maybe. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If everything goes how I want it..well.. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You might not have much of a village left. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So I hope you sell a bunch of tickets. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I shall. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: just an albino piece of ground. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: bye. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...... - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's go home. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I've had a long day. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Soon to be diagnosed for stroke. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: square up lil nigga. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright.. - Tue Oct  6 03:13:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Amusing. That man. . seemed very powerful. Are these shinobi not alarmed at his growth of strength? - Tue Oct  6 03:13:16 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .. Yo, Raikage fam-... - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..... - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Curious. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Why did you? - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I dont't fight. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: don't* - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're the shinobi here. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Who was to say that he would power up from eating a sword. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We're going to go train. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa, do you want to come? - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Ah well. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: It is what it is. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm... - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', Raikage fam'.. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You want to learn...From me? - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A test.... - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Yes. One of your shinobi sparred with me earlier! - Tue Oct  6 03:17:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He threw a fish at my face. - Tue Oct  6 03:17:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Yeah, sure. - Tue Oct  6 03:18:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa! - Tue Oct  6 03:18:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to come with me and Chiharu? - Tue Oct  6 03:18:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Ooooooh, can we go train my jutsu? I am almost close to mastering it. - Tue Oct  6 03:19:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Guess not. - Tue Oct  6 03:21:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, let's go. - Tue Oct  6 03:21:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This spear is pretty cool. - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hey. - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Anyone know who was friends with Flexus. - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't know who that is, are you close with the Mizukage? - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: What type of retarded name is Flexus? - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Reguel(Airide) says: I could say the same about your name, now be nice. - Tue Oct  6 03:37:10 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I..Indeed... - Tue Oct  6 03:39:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I will do... my hardest... - Tue Oct  6 03:39:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Try...my hardest... - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: In the name of yo...youth! - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Reguel(Airide) says: We got another weird one. - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Right. - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good. - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Another one dead... - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: My back is burning more than my youth! - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Welp. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: Sulphur.. Hn.. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: We outchea. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: I'm not needed here I guess.. - Fri Oct  9 01:09:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: YOU TALKING SHIT - Fri Oct  9 01:09:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes - Fri Oct  9 01:09:58 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) does what Ambrosio did but only slower.* - Fri Oct  9 01:22:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm getting.. sick of doing that.. - Fri Oct  9 01:55:12 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) runs around flailing his arms as he conitnued screaming "WE ALL GOAN DIE! FUCK THE WOMEN AND CHILDREN SAVE ME!"* - Fri Oct  9 01:58:36 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: . . . - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: One.. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Two.. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Calm....Ambrocio. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck. - Fri Oct  9 01:59:28 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) gets on the floor and begins rolling from side to side "OH LAWD HELP ME YOUR LOYAL SERVANT!"* - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Hmph.. - Fri Oct  9 02:02:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good...Good.. - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm going to go check the outside. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anyone else want to come with? - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I might as well. It's been a while since I've been back here anyways. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Calm.. - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Why are these people staring at us.. - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: How about we play a game of dice? - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Seventeen, Eighteen.. - Fri Oct  9 02:20:48 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) took the cards and held them in his hand.* - Fri Oct  9 02:22:30 2015
