<br><font color=teal>*Trilliam(VantetheGreat) says: Its law. - Sat Nov  7 01:38:33 2015
"Nice to meet you both! Hope we can get along at the party it's just to have everyone meet on peaceful terms, rather than harmful unpleseant ones,"* - Sun Nov  8 01:41:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sun Nov  8 01:44:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Hassan.. - Sun Nov  8 01:44:57 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would smile toward Chikyu//
 "I understand, it's the consideration that counts at leasts that's what grandma used to say." 

Koji releasing his shake would be wearing gloves to cover the softness of his hands. Usually people commented on how soft they were, but he didn't really want to hear that. As it reminded him of when his mother last walked him around  a few years ago. However, the size of his hand did match the teenagers abnormal size for his age. As he heard the question of Kiyoko he's say, 

"Nah, not common but every once in a whille some looney character will enter trying to do something to disrupt the peace. Imagine it like a weather occurance. "* - Sun Nov  8 01:54:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well we try to make sure you guys work as little as possible. I dont know how well that's going. - Sun Nov  8 01:59:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Later Koji... - Sun Nov  8 02:05:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Later Ai, lets catch up soon. - Sun Nov  8 02:05:26 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She seems like a pretty sweet girl. - Sun Nov  8 02:07:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, any new developments today? - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pretty peaceful. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wish I could find someone to spar though. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats a relief - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is anyone on you level? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your pretty strong... I dont think many can keep up with you - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... I could spar you.... but that's if you want.. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Then again... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are not a trustworthy ninja to me. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I know... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, I'm nothing special. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Not in my opinion - Sun Nov  8 02:13:07 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) does a slight grin as he spoke// 

"I heard a strange philosophica phrase the other day while in school... Went like this, Some goods require necessary evils. My teacher is a doctor at the hospital, and used an example you might like to describe it. He said, "Normally cutting someone is bad, but I as a surgeon cannot heal someone unless I cut them." I was baffled by that statement, but made me think how cmplicated things are at times hahaha." 

Koji's laugh was slight he was just making small knowledgeable conversation. He enjoyed a good philisophical conversation every now and again.* - Sun Nov  8 02:13:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Funny Yan... I told you the same thing when I first met you - Sun Nov  8 02:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? Well, seems to make sense. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im good, being a doctor... being a priest... sensing evil... the usual - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool, cool. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need a medical ninja to teach me this damned medical technique. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can't get the time of day with Zenaki. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ask.... Reguel - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Maybe you and I can make some sort of trad-- - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen him since yesterday. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be happy to work something out with you, Kiyoko. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I like you more than Reguel anyways..he's a bit annoying. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, your a medic Kiyoko? - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Mhm. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He is rather.... hard to deal with... - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats great another medic in Sunagakure... welcome... you will make another addition to the corps. As long as you actually learn medicine - Sun Nov  8 02:23:21 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I was a nurse before becoming a shinobi, they got tired of me not being qualified for certain tasks and had me get certified as a shinobi. - Sun Nov  8 02:25:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I think Im the only medic with more than one healing technique, its poison this and  chakra punch that, quite annoying - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: That doesn't really sound like my ... area. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm more for healing. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Great I would love to have your help, but Icant teach you anything because im a  Cleric. Not your basic medic - Sun Nov  8 02:26:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm not a basic medic either really, but that's good to know. I figured you couldn't teach me. - Sun Nov  8 02:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke....about that training you said you'd give me. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Could you pass me something to study on it? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Fuuinjutsu? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you know the basic seal yet? - Sun Nov  8 02:30:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nope, I'm clueless. - Sun Nov  8 02:30:11 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) expression would remain the same. He doesn't like being called the White eyed Devil. His eyes could see all, but show little of his expression, but that was not the same for his smile. He figured it helped, so he kept it up.// 

"I''m only thirteen haha, I have another year to go. It's one of Hassan's new rules as the KazeKage. But, the doctor should be "insert who ya want" very well known individual from what i understand." * - Sun Nov  8 02:32:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: His eyes are particular to people that have the same doujutsu as him. - Sun Nov  8 02:44:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Those are the eyes of the Hokuma clan, but the do have puplies  - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: family* - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: How....strange. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Doujutsu. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: If you would like to know no more about them they dont know much other than its a family thing... Believe me I have tried - Sun Nov  8 02:49:48 2015
<br><br><font color=teal>*Test(Booty Eater) says: I'm going to eat everyone's ass - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: With the Eternal Tsukiyomi in my hands. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: That ass is mine. - Sun Nov  8 02:50:40 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) acts blind he reaches out and stuff acting like he can't see for a brief moment, but he'll stop or "be stopped" to say, 

"Naah, I'm not blind I can see you probably just as clearly as you can see me." 
Koji wouldn't notice her staring, because Makoto was confused by his skin color, so he wouldn't take offense to the staring. However, no one had blatantly just stared into his expressionless eyes. As soon as he notice the intensity he'd turn a little. * - Sun Nov  8 02:54:56 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Iza - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pretty good - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I appreciate this, Sanoke. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I appreciate your loyalty to Sand Village. - Sun Nov  8 03:01:45 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) "It's fine. It's not missing just blended in haha." Koji would sit as she bowed not on the bench, but in the sand indiant style. He had gotten tired of standing while having a long conversation. 

"Do you find the village nice outside the hospital?"* - Sun Nov  8 03:02:36 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) looks around and says, 

"I survey the village sometimes and see that some people actually sleep on the ground. I just want to see how they feel, or at least get close to that feeling. However, that's changing thankfully, Sunagakure is expanding and constructing more homes for the population." 

Koji has a key principal and that's have compassion for others. Most people look at him oddly as he chills around various places of Sunagakure. Acting as some of the homeless around Sunagakure. But, recently people have stopped asking him why he sleeps or sits outside. It's understandable to Koji why Kiyoko asked, because she's been in the hospital she's worried with many other things. Koji as an officer of Suna cares for the citizens on a deep level.* - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ---<*Spots a Fuji*> - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Fuji. Whatever happened to that kid that won your competition? - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Index?.. Hm, well he's around...About.. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What competition? - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hit me up when he's around. I want to see how overpowered you've made him. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Long ago, Fuji had a competition to take on a student. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Index kid came in first. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yo - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: fuji got like - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: 8 students - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay? - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, is anyone available to help me out? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: With what, bud? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..I wouldn't say Over powered...There's just some abilities I can not teach people outside the family..Noriko was the only one to have obtained such from me..But I've taughtIndex other things.. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems legit. -- Oh, you and I should have a battle later too. I still want to see how much you've grown. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes haha..I'll just have to go for now.. - Sun Nov  8 03:26:30 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) says, "Thanks I try to do what I can and at this point I kind of considered us friends already Kiyoko haha." Koji would continue, 

"I always tell my friends to try out the new Ramen shop it's waaay better than the old place they're stuff gets shipped fresh from Konoha it's delicious!" * - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Just some general fighting tips. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: For now, at least. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, we can spar. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not that great at teaching, but if you study my way of fighting, maybe you can get something out of it. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Errr. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Ok, I guess. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *whistle* - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool. Lead the way. - Sun Nov  8 03:33:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi... Mirai. - Sun Nov  8 03:36:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Evening. What is with the tone? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tone..?? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Uh. Yousound disgruntled. - Sun Nov  8 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I guess you could say that I'm a little disgruntled. I'm a little stressed, is all.. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: For what? - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It.. it doesn't matter. It's not something I can't handle... - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've already told one person.. well.. they learned of it... and I didn't want them to.. - Sun Nov  8 03:41:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't want to unsettle you, either.. - Sun Nov  8 03:41:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It is fine. - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She eats ass - Sun Nov  8 03:42:43 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) O.O//
It's near the entrance Koji points to what would be his east side. No one ever tried it, but they're missing out. Besides the freshness the best part is no grease... I dont know how they do it. If you ever find time out your busy schedule you should try and check it out." 

Koji heard Mirai's greeting and waved toward her. Telling her it's been crazy busy. * - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: secrets out - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't see why you'd want to hide your troubles from me. - Sun Nov  8 03:44:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It's difficult to explain... - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll give you time. In anycase, how goes your training? - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've made progress with a few things... but not much in terms of our clan's techniques.. - Sun Nov  8 03:49:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm.. not sure. - Sun Nov  8 03:50:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: i sense a disturbance in the wind.. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: <*Sighs*> And you should cheer up, really. Want to go grab a bite to eat first? WE can talk. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We* - Sun Nov  8 03:51:15 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) " Sure, I would like that actually." Koji gives a smile during this practicing his non-White Eyed Devil glare.

 Koji would whisper, "I eat free there, so no worries about paying when we go."* - Sun Nov  8 03:52:06 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sure.. - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: --- - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Oh, Mai! - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: What's up? - Sun Nov  8 03:59:47 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) "Some men tried to rob the shop a few weeks ago, and I stopped them the shop owner was so thankful he told me I can eat free forever. The owners really nice I tried giving him tips, but he doesn't take it. That's the kind of kindess that's rare, ya know? That's why I'm glad I was able to create Desert Owl I can help protect that rarity." 

Koji would begin swirling his finger around in the dirt he was drawing a smiley face.* - Sun Nov  8 04:00:38 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: He's.... seemingly untouched by the terrors of a shinobi life...how is that possible? - Sun Nov  8 04:01:29 2015
