<br><font color=teal>*Nina(Ninasky115) says: Want me to help you? - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A C rank mission - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What about this index guy? - Sun Oct 11 21:38:46 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Ask him. - Sun Oct 11 21:39:37 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned and poked the guy in the side.* - Sun Oct 11 21:39:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm? - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose. - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Isn't hitting children against the law though? - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm a shinobi! - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I mean, a uhhh...... - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That K word! - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Kunochi. - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Index(Jjking217) says: And sure. - Sun Oct 11 21:46:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well lets get started!~ - Sun Oct 11 21:49:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We're done.. - Sun Oct 11 21:49:52 2015
<br><br><font color=teal>*Index(Jjking217) says: Come at me, I'm not Taijutsu oriented. - Sun Oct 11 21:49:52 2015
<br><br><font color=teal>*Index(Jjking217) says: But I'd prefer we kept it to that. - Sun Oct 11 21:49:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You can start, it's fine. - Sun Oct 11 21:49:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd prefer you did. - Sun Oct 11 21:49:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nuh uh, you come first! - Sun Oct 11 21:50:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Sure, I suppose. - Sun Oct 11 21:51:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I hope a jutsu scroll is possibly allied with this new mission scroll/ - Sun Oct 11 21:54:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A jutsu scroll? - Sun Oct 11 21:54:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Haha. - Sun Oct 11 21:54:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No. - Sun Oct 11 21:54:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Those come at a later time. - Sun Oct 11 21:54:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You are such a nigger. -omit- - Sun Oct 11 21:55:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Straight out of compton moda fuka -omit- - Sun Oct 11 21:55:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yeah.. - Sun Oct 11 21:56:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: An exchange.. - Sun Oct 11 21:56:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mean, Within a reasonable price of course. - Sun Oct 11 21:56:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I am just a mere twelve year old. - Sun Oct 11 21:56:41 2015
<br><br><font color=yellow>*Nina(Ninasky115) watched as he reached for some type of forks and knives, which were still pretty dangerous. Moving her body to the side to avoid them, she'd hit a small yet quick spin as well. Reaching into her pocket, she'd grab a single kunai. "You said taijutsu, you cheater!" * - Sun Oct 11 21:58:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: .. - Sun Oct 11 21:58:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Are you two really going to do this? - Sun Oct 11 21:58:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You came here to ask to be part of this village. - Sun Oct 11 21:59:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I told you needed to pull your own weight. - Sun Oct 11 21:59:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And now you want to negotiate terms of payment? - Sun Oct 11 21:59:15 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: For something as meagre as a jutsu scroll. - Sun Oct 11 21:59:15 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: My mentor died in the destruction of Konoha, Basically halting my advancement. - Sun Oct 11 22:00:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have no problem with pulling my weight, But i'd like to inquire into a business transaction too. - Sun Oct 11 22:00:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Think of it this way, you get out labour and our money. - Sun Oct 11 22:00:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Both help the village. - Sun Oct 11 22:00:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Either way you win. - Sun Oct 11 22:00:57 2015
<br><br><font color=yellow>*Nina(Ninasky115) shook her head as she stared at Index. "You cheated, so now it's every person for themselves!" Grabbing the kunai tightly, she'd bring it up to her shoulder lightly before throwing it forward with precision, flying quickly towards his right shoulder in an attempt to pierce through it. Of course, her hands were brought together at her chest, waiting for him to dodge. It was obvious that she was going to use a jutsu.* - Sun Oct 11 22:02:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: ...... - Sun Oct 11 22:04:22 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) thinks: That is a lot of cheddar... - Sun Oct 11 22:04:22 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Do the missions. - Sun Oct 11 22:04:22 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will give you jutsu scrolls. - Sun Oct 11 22:05:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: When the mission is done. - Sun Oct 11 22:05:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm, What if I gave you a scroll stolen from this village? - Sun Oct 11 22:06:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Would you give me one in return? - Sun Oct 11 22:06:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Guess we better get this done then Ortho. - Sun Oct 11 22:10:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Er.. - Sun Oct 11 22:12:03 2015
<br><br><font color=teal>*Index(Jjking217) says: .I also participated. - Sun Oct 11 22:12:03 2015
<br><br><font color=teal>*Index(Jjking217) says: Can I get it as well? - Sun Oct 11 22:12:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ok. - Sun Oct 11 22:12:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Quitters get nothing! - Sun Oct 11 22:12:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No. - Mon Oct 12 02:39:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I wont. - Mon Oct 12 02:40:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will how ever make you do fifty sit ups. - Mon Oct 12 02:40:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Huh? - Mon Oct 12 02:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. Kinda lazy to help. - Mon Oct 12 02:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Want me to make a donation? - Mon Oct 12 02:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Instead? - Mon Oct 12 02:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: T-That hurts. - Mon Oct 12 02:41:42 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Anything is good. - Mon Oct 12 02:41:42 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Donation or work. - Mon Oct 12 02:41:42 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: That was a smooth transition, Kirie. - Mon Oct 12 02:41:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Donation then. - Mon Oct 12 02:42:33 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Thanks Baen. - Mon Oct 12 02:42:33 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I try my best. - Mon Oct 12 02:43:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Mon Oct 12 02:43:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Get to it Index. - Mon Oct 12 02:44:16 2015
<br><br><font color=teal>*Index(Jjking217) says: S-Senpai. - Mon Oct 12 02:44:16 2015
<br><br><font color=teal>*Index(Jjking217) says: P-Please no? - Mon Oct 12 02:45:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Index. - Mon Oct 12 02:45:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You want to get strong dont you? - Mon Oct 12 02:45:07 2015
<br><br><font color=teal>*Index(Jjking217) says: I-I was hoping m-more N-Ninjutsu wise. - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. Teach me that jutsu really fast, I'll do a donation. Gotta get back to my ladies. - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eight-hundred thousand good? - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What jutsu?? - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Secret. - Mon Oct 12 02:45:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I wanna know. - Mon Oct 12 02:46:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey, hey Violet! - Mon Oct 12 02:47:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: We have training to do, Violet! - Mon Oct 12 02:50:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Your right Nina we do... - Mon Oct 12 02:54:30 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I would welcome you to the village why? - Mon Oct 12 02:55:21 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Last time I saw you, you attacked VIolet, Setsuko and I. - Mon Oct 12 02:56:12 2015
<br><br><font color=yellow>*Nina(Ninasky115) smiled and ran forward, aiming to grab her hand and pull her away to the waterfall.* - Mon Oct 12 02:56:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And I understand that you are not part of this village anymore. - Mon Oct 12 02:56:12 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: I'm not? - Mon Oct 12 02:58:46 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: I guess....You know..Since I'm not part of the village...I should divulge all the information  I have to another Kage right? - Mon Oct 12 02:58:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: So do you want to go first this time hun? - Mon Oct 12 03:00:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Aww, why me? - Mon Oct 12 03:00:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to fight you with your sword this time! I have something of my own.~ - Mon Oct 12 03:01:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: If you say so... - Mon Oct 12 03:02:11 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: So... Lera. Could you do the duty of taking care of me, since Violet hasn't? - Mon Oct 12 03:19:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...? - Mon Oct 12 03:19:15 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm stuck in a wheelchair for the next two weeks. - Mon Oct 12 03:19:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: You can't take care of yourself? - Mon Oct 12 03:20:06 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm needy and helpless. Otherwise I wouldn't have asked. - Mon Oct 12 03:20:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Mon Oct 12 03:21:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not exactly suited for that sort've thing. - Mon Oct 12 03:21:48 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I don't see how you maintained a romantic relationship like that. - Mon Oct 12 03:21:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: By not having a broken heart. - Mon Oct 12 03:21:48 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Huh. - Mon Oct 12 03:21:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked off at Violet as she came forward. Pulling up her trusty kunai that she owned, she was finally able to use her new jutsu in an actual combat situation. Bringing her kunai up to her mouth, she'd blow a large amount of chakra onto the blade, allowing wind to flow over said kunai to the point where her wind chakra would cause it to be extremely sharp.

Looking up at Violet, who was completely outranking her, she'd aim to move forward and attack, but noticed that the girl had already moved. Trying to react quick enough, she'd quickly move to the side in an attempt to dodge the technique, but it wasn't any use. Instead of getting hit dead center of her stomach, she'd get hit more off to the side, not knocking the complete wind out of her.

As she was about to get tripped, she knew that she couldn't allow herself to get completely clowned, even by someone so much higher in rank than her. Jumping back, she'd force chakra into her feet to burst her even higher than her regular jump would, and as well she'd aim to throw the kunai down towards her with its enhanced wind power, hopefully preventing her from advancing too quickly.* - Mon Oct 12 03:27:47 2015
<br><br><font color=yellow>*Nina(Ninasky115) landed on her feet, taking a few steps back before falling back on her butt, pushing chakra into said butt so that she wouldn't have to sink under the surface. Looking up, she'd frown, looking at Violet. "That's so unfair, you're super strong and fast."* - Mon Oct 12 03:46:33 2015
<br><br><font color=yellow>*Nina(Ninasky115) frowned at her and took her hand to pull herself up. "You sound just like a parent. 'You can do this when you're older, you're not old enough yet.' So unfair." She'd pout and cross her arms, looking up at the woman.* - Mon Oct 12 03:53:23 2015
<br><br><font color=yellow>*Nina(Ninasky115) was picked up and kissed on the forehead, seeking the oppurtunity. Pushing her hand forward, she'd poke the girl in the shoulder. "Sneak attack!!"* - Mon Oct 12 03:57:39 2015
<br><br><font color=yellow>*Nina(Ninasky115) was flicked on the forehead, not very hard at all, and pout hard as ever. She'd cross her arms and fall on her butt, looking away from Violet.* - Mon Oct 12 04:02:46 2015
<br><br><font color=yellow>*Nina(Ninasky115) kept her arms crossed when she was placed on land, waiting for Violet to move so that she could follow. "I'll be mad at you forever, and ever!"* - Mon Oct 12 04:08:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: You will get over it I believe Nina...  - Mon Oct 12 04:11:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hmph! - Mon Oct 12 04:11:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyway. That's done. - Mon Oct 12 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can we, uhm. - Mon Oct 12 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hurry? How much money is going to be neededto fix Kiri anyway? - Mon Oct 12 04:12:09 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Do you think this is over Sanoke? - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: This is only the begining. - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: This is the tip of the iceberg. - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Are you really worried? He doesn't seem too tough. - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He summoned troops here. - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I think I will take a quick nap now... - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: We still have to deal with that. - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Baaah. - Mon Oct 12 04:13:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Why are his troops so stupid to come fight over something that is literally rubble. - Mon Oct 12 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can we make it fast? - Mon Oct 12 04:13:52 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He showed his troops* - Mon Oct 12 04:13:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... What happenend while we were gone? - Mon Oct 12 04:13:52 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: They greatly outnumber us. - Mon Oct 12 04:13:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well they're gone now. You shouldn't worry about it. - Mon Oct 12 04:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Use some of this cash I'm going to give you to buy some forces. - Mon Oct 12 04:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho.. - Mon Oct 12 04:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How much you want? - Mon Oct 12 04:14:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: War... troops... whats happening? - Mon Oct 12 04:15:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I think I'm gonna go and sleep too. - Mon Oct 12 04:16:25 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yea... this is is too wierd for me - Mon Oct 12 04:17:16 2015
<br><br><font color=yellow>*Nina(Ninasky115) waved brightly at Fujitora. "Hi mister!~"* - Mon Oct 12 10:27:37 2015
<br><br><font color=yellow>*Nina(Ninasky115) approached him cheerfully and uncautiously, looking up at him. "What're you doing here mister? Are you looking for someone? Lady kage isn't here right now."* - Mon Oct 12 10:29:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Something like that..Came to help clean up the rubble..Though it seems all is well and handled. - Mon Oct 12 10:30:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You seem cheerful, what is your name young one. - Mon Oct 12 10:31:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm Nina. - Mon Oct 12 10:31:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Nina hm?..I'm Fujitora..Nice to meet you. - Mon Oct 12 10:32:44 2015
